2026-05-28 12:04:19,208 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\sejong.txt | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\sejong.txt | Status: SUCCESS
2026-05-28 12:04:41,015 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\SmartFileOrganizerAgent.png | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Images\SmartFileOrganizerAgent.png | Status: SUCCESS
2026-05-28 12:04:53,996 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\stack lab.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\stack lab.c | Status: SUCCESS
2026-05-28 12:05:07,916 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\OS_Week_12_20260520.pptx | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\OS_Week_12_20260520.pptx | Status: SUCCESS
2026-05-28 12:05:21,022 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\SS_Assignment#3_24012974.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\SS_Assignment#3_24012974.pdf | Status: SUCCESS
2026-05-28 12:06:37,807 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\sales.csv | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\sales.csv | Status: SUCCESS
2026-05-28 12:10:07,660 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\stack lab.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\stack lab.c | Status: SUCCESS
2026-05-28 12:12:21,250 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Untitled video - Made with Clipchamp.mp4 | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Videos\Untitled video - Made with Clipchamp.mp4 | Status: SUCCESS
2026-05-28 12:12:41,736 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\click.ogg | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\click.ogg | Status: SUCCESS
2026-05-28 14:02:43,152 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\sejong.txt | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\sejong.txt | Status: SUCCESS
2026-05-28 14:03:05,405 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\hantaran4.jpg | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Images\hantaran4.jpg | Status: SUCCESS
2026-05-28 14:03:21,742 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\lab02_circular_linked_list.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\lab02_circular_linked_list.c | Status: SUCCESS
2026-05-28 14:03:40,617 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\classroom_data.csv | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\classroom_data.csv | Status: SUCCESS
2026-05-28 14:03:56,507 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Sol_3_1_Shallow_Networks_I.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Sol_3_1_Shallow_Networks_I.pdf | Status: SUCCESS
2026-05-28 14:03:57,637 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\OS_Assignment_2.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\OS_Assignment_2.pdf | Status: SUCCESS
2026-05-28 14:04:48,059 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Quiz  # 1 -Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Quiz  # 1 -Solution.pdf | Status: SUCCESS
2026-05-28 14:04:50,061 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\OS_Week_5_20260406 (1).pptx | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\OS_Week_5_20260406 (1).pptx | Status: SUCCESS
2026-05-28 14:04:51,090 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\SS_Assignment#2_24012974.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\SS_Assignment#2_24012974.pdf | Status: SUCCESS
