2026-06-06 20:35:59,574 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1.pdf | Status: SUCCESS
2026-06-06 20:36:12,351 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Assignment 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Assignment 2 Solution.pdf | Status: SUCCESS
2026-06-06 20:36:14,019 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2 Solution.pdf | Status: SUCCESS
2026-06-06 20:36:15,131 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2.pdf | Status: SUCCESS
2026-06-06 20:36:24,896 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Reference File.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\Reference File.c | Status: SUCCESS
2026-06-06 20:36:25,933 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Status: SUCCESS
2026-06-06 20:36:39,681 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lecture-12 Data Structure and Lab_QUEUE.pptx | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Lecture-12 Data Structure and Lab_QUEUE.pptx | Status: SUCCESS
2026-06-06 20:36:40,710 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (May 28, 2026) _ Queue-1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Lab Practice Session (May 28, 2026) _ Queue-1.pdf | Status: SUCCESS
2026-06-06 20:36:41,729 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\sejong.txt | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\sejong.txt | Status: SUCCESS
2026-06-06 20:43:05,058 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1_renamed.pdf | Status: SUCCESS
2026-06-06 20:43:12,130 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Assignment 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Assignment 2 Solution_renamed.pdf | Status: SUCCESS
2026-06-06 20:43:13,182 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2 Solution_renamed.pdf | Status: SUCCESS
2026-06-06 20:43:14,217 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2_renamed.pdf | Status: SUCCESS
2026-06-06 20:43:23,904 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Reference File.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\Reference File_renamed.c | Status: SUCCESS
2026-06-06 20:43:24,940 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\Lab Practice Session (June 04, 2026) _ Double-Ended Queue_renamed | Status: SUCCESS
2026-06-06 20:43:25,995 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\5-DL-Loss Functions.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\5-DL-Loss Functions.pdf | Status: SUCCESS
2026-06-06 20:51:52,829 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1.pdf | Status: SUCCESS
2026-06-06 20:52:30,634 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Assignment 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Assignment 2 Solution.pdf | Status: SUCCESS
2026-06-06 20:52:31,887 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2 Solution.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2 Solution.pdf | Status: SUCCESS
2026-06-06 20:52:33,042 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\In-Class Practice 2.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\In-Class Practice 2.pdf | Status: SUCCESS
2026-06-06 20:53:01,149 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Reference File.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\Reference File.c | Status: SUCCESS
2026-06-06 20:53:02,166 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Status: SUCCESS
2026-06-06 21:41:57,961 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1.pdf | Status: SUCCESS
2026-06-06 21:42:01,826 | INFO | SKIPPED (duplicate) | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination:  | Status: SKIPPED
2026-06-06 21:42:20,602 | INFO | SKIPPED (duplicate) | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1 - Copy.pdf | Destination:  | Status: SKIPPED
2026-06-06 22:36:21,129 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1.pdf | Status: SUCCESS
2026-06-06 22:36:51,134 | INFO | SKIPPED (duplicate) | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination:  | Status: SKIPPED
2026-06-06 22:37:40,413 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Status: SUCCESS
2026-06-06 22:37:44,946 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Puteri Gunung Ledang.pptx | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Puteri Gunung Ledang.pptx | Status: SUCCESS
2026-06-06 22:37:46,109 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Reference File.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\Reference File.c | Status: SUCCESS
2026-06-06 22:49:09,088 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Final Exam_Cheat Sheet_v1.pdf | Status: SUCCESS
2026-06-06 22:49:37,298 | INFO | SKIPPED (duplicate) | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Final Exam_Cheat Sheet_v1.pdf | Destination:  | Status: SKIPPED
2026-06-06 22:50:17,080 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Others\Lab Practice Session (June 04, 2026) _ Double-Ended Queue | Status: SUCCESS
2026-06-06 22:50:18,373 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Puteri Gunung Ledang.pptx | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Documents\Puteri Gunung Ledang.pptx | Status: SUCCESS
2026-06-06 22:50:19,527 | INFO | MOVED | Source: C:\Users\qmiza\smart_file_organizer\watched_folder\Reference File.c | Destination: C:\Users\qmiza\smart_file_organizer\watched_folder\Code\Reference File.c | Status: SUCCESS
